Ea,Eb,Ec,Cond.
3903010763.66717,3420487176.50842,525011570.830692,Normal
3903010757.37838,3420487144.51192,525011589.591716,Normal
3903010751.06165,3420487111.75716,525011608.802819,Normal
3903010744.73578,3420487078.7541,525011628.161296,Normal
3903010738.37539,3420487044.81393,525011648.076006,Normal
3903010732.00823,3420487010.68922,525011668.100249,Normal
3903010794.81858,3420487328.65265,525011481.677815,Normal
3903010788.6317,3420487299.42722,525011498.794053,Normal
3903010782.41688,3420487269.44401,525011516.360074,Normal
3903010776.18674,3420487239.04514,525011534.172811,Normal
3903010769.93481,3420487208.05449,525011552.336806,Normal
3903010763.66131,3420487176.47857,525011570.848185,Normal
3903010757.37229,3420487144.48089,525011589.60991,Normal
3903010751.05528,3420487111.72393,525011608.822314,Normal
3903010744.72919,3420487078.71965,525011628.181511,Normal
3903010738.36851,3420487044.77714,525011648.09759,Normal
3903010732.00106,3420487010.65004,525011668.123244,Normal
3903010794.81398,3420487328.63106,525011481.690458,Normal
3903010788.62684,3420487299.40376,525011498.807794,Normal
3903010782.41179,3420487269.41944,525011516.374471,Normal
3903010776.18138,3420487239.01859,525011534.188377,Normal
3903010769.92922,3420487208.02678,525011552.353049,Normal
3903010763.65545,3420487176.44877,525011570.865659,Normal
3903010757.36618,3420487144.4499,525011589.628083,Normal
3903010751.04891,3420487111.69073,525011608.841787,Normal
3903010744.72257,3420487078.68521,525011628.201708,Normal
3903010738.36164,3420487044.7404,525011648.119153,Normal
3903010731.99391,3420487010.61091,525011668.146217,Normal
3903010794.80939,3420487328.60949,525011481.703088,Normal
3903010788.62198,3420487299.38033,525011498.821522,Normal
3903010782.40669,3420487269.39489,525011516.388853,Normal
3903010776.17603,3420487238.99206,525011534.203924,Normal
3903010769.92363,3420487207.99911,525011552.369272,Normal
3903010763.6496,3420487176.419,525011570.883116,Normal
3903010757.3601,3420487144.41894,525011589.646238,Normal
3903010751.04256,3420487111.65756,525011608.861241,Normal
3903010744.71598,3420487078.65081,525011628.221882,Normal
3903010738.35478,3420487044.70368,525011648.140691,Normal
3903010731.98675,3420487010.57182,525011668.169162,Normal
3903010794.80479,3420487328.58795,525011481.715703,Normal
3903010788.61712,3420487299.35692,525011498.835236,Normal
3903010782.40161,3420487269.37037,525011516.403219,Normal
3903010776.17069,3420487238.96557,525011534.219454,Normal
3903010769.91805,3420487207.97144,525011552.385479,Normal
3903010763.64375,3420487176.38927,525011570.900551,Normal
3903010757.35402,3420487144.38801,525011589.664372,Normal
3903010751.03622,3420487111.62443,525011608.880672,Normal
3903010744.70939,3420487078.61646,525011628.242035,Normal
3903010738.3479,3420487044.66702,525011648.162205,Normal
3903010731.97962,3420487010.53276,525011668.192086,Normal
3903010794.80019,3420487328.56644,525011481.728304,Normal
3903010788.61228,3420487299.33355,525011498.848933,Normal
3903010782.39653,3420487269.34587,525011516.417571,Normal
3903010776.16535,3420487238.9391,525011534.234968,Normal
3903010769.91248,3420487207.94383,525011552.401669,Normal
3903010763.63793,3420487176.35957,525011570.917971,Normal
3903010757.34795,3420487144.35711,525011589.682488,Normal
3903010751.02987,3420487111.59134,525011608.900083,Normal
3903010744.70281,3420487078.58214,525011628.262164,Normal
3903010738.34106,3420487044.63041,525011648.183698,Normal
3903010731.97249,3420487010.49374,525011668.214984,Normal
3903010794.79561,3420487328.54494,525011481.740893,Normal
3903010788.60743,3420487299.31018,525011498.862617,Normal
3903010782.39146,3420487269.32141,525011516.431907,Normal
3903010776.16001,3420487238.91266,525011534.250464,Normal
3903010769.90692,3420487207.91624,525011552.417838,Normal
3903010763.63208,3420487176.32989,525011570.935368,Normal
3903010757.34188,3420487144.32625,525011589.700584,Normal
3903010751.02352,3420487111.55828,525011608.919472,Normal
3903010744.69624,3420487078.54785,525011628.282274,Normal
3903010738.33421,3420487044.59382,525011648.205167,Normal
3903010731.96536,3420487010.45478,525011668.237858,Normal
3903010794.79103,3420487328.52346,525011481.753468,Normal
3903010788.6026,3420487299.28685,525011498.876286,Normal
3903010782.38639,3420487269.29696,525011516.446226,Normal
3903010776.15468,3420487238.88624,525011534.265944,Normal
3903010769.90134,3420487207.88868,525011552.433993,Normal
3903010763.62625,3420487176.30025,525011570.952749,Normal
3903010757.33582,3420487144.29542,525011589.718662,Normal
3903010751.01719,3420487111.52526,525011608.938843,Normal
3903010744.68968,3420487078.51361,525011628.302361,Normal
3903010738.32737,3420487044.55726,525011648.226615,Normal
3903010731.95825,3420487010.41585,525011668.260707,Normal
3903010794.78645,3420487328.50201,525011481.766028,Normal
3903010788.59777,3420487299.26355,525011498.889941,Normal
3903010782.38133,3420487269.27253,525011516.460532,Normal
3903010776.14936,3420487238.85986,525011534.281409,Normal
3903010769.8958,3420487207.86115,525011552.450131,Normal
3903010763.62043,3420487176.27064,525011570.970111,Normal
3903010757.32977,3420487144.26462,525011589.736719,Normal
3903010751.01087,3420487111.49228,525011608.958191,Normal
3903010744.68312,3420487078.4794,525011628.322428,Normal
3903010738.32053,3420487044.52074,525011648.248037,Normal
3903010731.95114,3420487010.37697,525011668.283532,Normal
3903010794.78188,3420487328.48058,525011481.778576,Normal
3903010788.59294,3420487299.24027,525011498.90358,Normal
3903010782.37628,3420487269.24815,525011516.474822,Normal
3903010776.14404,3420487238.83351,525011534.296856,Normal
3903010769.89025,3420487207.83364,525011552.466252,Normal
3903010763.61462,3420487176.24106,525011570.987455,Normal
3903010757.32372,3420487144.23386,525011589.754756,Normal
3903010751.00456,3420487111.45932,525011608.977519,Normal
3903010744.67657,3420487078.44523,525011628.342473,Normal
3903010738.31371,3420487044.48428,525011648.269438,Normal
3903010731.94403,3420487010.33812,525011668.306332,Normal
3903010794.77733,3420487328.45918,525011481.791112,Normal
3903010788.58812,3420487299.21701,525011498.917206,Normal
3903010782.37122,3420487269.22378,525011516.489096,Normal
3903010776.13874,3420487238.80718,525011534.312287,Normal
3903010769.8847,3420487207.80616,525011552.482354,Normal
3903010763.60881,3420487176.2115,525011571.004782,Normal
3903010757.31768,3420487144.20313,525011589.772776,Normal
3903010750.99824,3420487111.4264,525011608.996828,Normal
3903010744.67002,3420487078.41108,525011628.362497,Normal
3903010738.30689,3420487044.44784,525011648.290816,Normal
3903010731.93694,3420487010.29932,525011668.329108,Normal
3903010794.77277,3420487328.43779,525011481.803634,Normal
3903010788.5833,3420487299.19379,525011498.930817,Normal
3903010782.36618,3420487269.19945,525011516.503357,Normal
3903010776.13342,3420487238.78088,525011534.327703,Normal
3903010769.87916,3420487207.77872,525011552.49844,Normal
3903010763.60301,3420487176.18199,525011571.02209,Normal
3903010757.31164,3420487144.17243,525011589.790776,Normal
3903010750.99194,3420487111.39353,525011609.016114,Normal
3903010744.66349,3420487078.37699,525011628.382498,Normal
3903010738.30009,3420487044.41144,525011648.312172,Normal
3903010731.92985,3420487010.26055,525011668.351861,Normal
3903010794.76821,3420487328.41644,525011481.816142,Normal
3903010788.5785,3420487299.17058,525011498.944413,Normal
3903010782.36114,3420487269.17514,525011516.5176,Normal
3903010776.12812,3420487238.75461,525011534.343102,Normal
3903010769.87363,3420487207.7513,525011552.514508,Normal
3903010763.59721,3420487176.15251,525011571.039377,Normal
3903010757.30562,3420487144.14176,525011589.808758,Normal
3903010750.98564,3420487111.36068,525011609.035381,Normal
3903010744.65695,3420487078.34292,525011628.40248,Normal
3903010738.29328,3420487044.37509,525011648.333505,Normal
3903010731.92278,3420487010.22184,525011668.374589,Normal
3903010794.76366,3420487328.39509,525011481.828637,Normal
3903010788.57369,3420487299.1474,525011498.957994,Normal
3903010782.3561,3420487269.15085,525011516.53183,Normal
3903010776.12282,3420487238.72836,525011534.358484,Normal
3903010769.86811,3420487207.72392,525011552.530559,Normal
3903010763.59142,3420487176.12305,525011571.056647,Normal
3903010757.29959,3420487144.11114,525011589.82672,Normal
3903010750.97935,3420487111.32786,525011609.054626,Normal
3903010744.65043,3420487078.30889,525011628.42244,Normal
